subject1	verb1	object1	subject2	verb2	object2	score	st_dev
agent	sell	property	family	buy	home	3.125	1.50865558252
agent	sell	property	group	hold	meeting	1.16666666667	0.471404520791
author	write	book	delegate	buy	land	1.13043478261	0.611793359977
author	write	book	man	hear	word	1.64	1.01508620324
author	write	book	writer	read	word	3.16666666667	1.06718737291
case	require	attention	customer	pay	price	1.12	0.324961536185
case	require	attention	patient	need	treatment	4.24	1.50412765416
charity	help	people	panel	discuss	issue	1.38095238095	0.5753831416
charity	help	people	school	encourage	child	2.4347826087	1.27947295387
committee	consider	matter	panel	discuss	issue	5.8	0.979795897113
committee	consider	matter	study	pose	problem	3.16666666667	1.46249406457
commodity	meet	requirement	charity	help	people	1.45833333333	0.815432741283
company	provide	system	government	use	power	1.88	0.95163018027
company	suffer	loss	firm	cause	injury	3.13043478261	1.67602915369
customer	pay	price	company	cut	cost	1.91666666667	1.15168958009
customer	pay	price	graduate	begin	career	1.04545454545	0.208298895225
delegate	buy	land	agent	sell	property	3.36	1.71767284429
delegate	buy	land	mother	leave	house	1.2	0.489897948557
design	reduce	amount	company	cut	cost	4.26086956522	1.7249421239
doctor	use	test	physician	pass	time	2.16666666667	1.28019095798
drug	produce	effect	committee	consider	matter	1.18181818182	0.574959574576
drug	produce	effect	employee	start	work	1.04166666667	0.199826313471
employee	start	work	graduate	begin	career	4.95238095238	1.36193806153
family	receive	letter	survey	collect	information	1.68	1.0476640683
father	stretch	arm	man	wave	hand	4.08	1.23028451994
firm	cause	injury	question	raise	head	1.12	0.324961536185
force	win	battle	commodity	meet	requirement	1.36	0.932952303175
force	win	battle	people	play	game	1.6	1.01980390272
gentleman	close	eye	father	stretch	arm	1.36	0.685857127979
girl	like	people	plan	increase	number	1.0	0.0
girl	like	people	survey	collect	information	1.04	0.195959179423
girl	like	people	woman	ask	man	1.63636363636	1.18879062097
government	use	power	authority	exercise	influence	5.8	1.29614813968
graduate	begin	career	company	suffer	loss	1.08695652174	0.281771334713
group	hold	meeting	man	lift	hand	1.20833333333	0.644151034739
man	hear	word	people	remember	name	2.68	1.54194682139
man	lift	hand	question	raise	head	2.8	1.87616630393
man	shut	door	gentleman	close	eye	1.8	0.894427191
man	shut	door	page	provide	datum	1.0	0.0
man	shut	door	route	follow	road	1.0	0.0
man	wave	hand	employee	leave	company	1.24	0.813879597975
man	wave	hand	employee	start	work	1.12	0.324961536185
